,t,G1_cell_count,G2_cell_count
0,0.0,43,57
1,0.7515891619010091,45,56
2,1.392476271625057,44,57
3,1.9300010971200265,43,58
4,3.9480669377861446,42,59
5,4.715514926480246,41,60
6,5.213481211049185,43,59
7,6.502943612509171,42,60
8,6.529911725765409,44,59
9,6.82056574342586,43,60
10,7.569550477228702,45,59
11,9.600233714323743,47,58
12,10.131924277127439,49,57
13,10.213042029663896,51,56
14,12.002193277189264,53,55
15,12.697626005258599,52,56
16,13.066938844606383,54,55
17,13.441547321168166,53,56
18,13.933594444168456,55,55
19,14.138030449474712,57,54
20,14.246332030398637,22,54
21,14.847350299595574,20,54
22,16.025317993016365,22,53
23,17.72725510327973,24,52
24,18.444096282165642,22,52
25,18.663436797101646,24,51
26,18.969872644216224,26,50
27,19.393077459704784,28,49
28,19.45629140451775,30,48
29,19.527630305256793,32,47
30,19.584839550628327,30,47
31,20.56912469900764,28,47
32,21.18289982753315,30,46
33,22.443840186669096,28,46
34,22.62534784674788,30,45
35,22.902695659253354,32,44
36,22.92568587542085,30,44
37,22.99850001867469,32,43
38,22.998753640115815,30,43
39,23.724996667594482,32,42
40,24.614003712139194,30,42
41,24.71751633388166,32,41
42,24.874159559595427,34,40
43,25.57010947283998,36,39
44,25.606114825458256,34,39
45,26.004285735999865,36,38
46,26.446574429653083,34,38
47,26.639312865365522,32,38
48,28.455650360854946,34,37
49,29.111852549432385,36,36
50,29.12146690741045,38,35
51,29.1322593445718,36,35
52,30.24914497578893,38,34
53,30.709195997583628,40,33
54,31.582610859938782,42,32
55,31.673611914844113,40,32
56,33.12301577188975,38,32
57,33.57839911057057,36,32
58,33.83993805849309,38,31
59,33.90805494099371,40,30
60,34.198243950593806,38,30
61,34.2892664860416,36,30
62,34.385620326000826,34,30
63,34.57397119982922,36,29
64,35.96366443044112,38,28
65,36.53101117537837,40,27
66,36.70020067455883,38,27
67,37.584980631578006,40,26
68,38.672133210157384,42,25
69,38.88234022092979,40,25
70,39.3141033020194,38,25
71,39.45639471621626,36,25
72,39.683405077137714,38,24
73,40.545762582882254,36,24
74,40.82139957583358,38,23
75,42.02294601327599,36,23
76,42.121105191924954,38,22
77,42.25593205390003,36,22
78,43.243955592005626,34,22
79,43.33569566776806,36,21
80,43.33730906285099,38,20
81,43.89975841638583,36,20
82,44.059881086729234,38,19
83,44.8418498168667,40,18
84,45.472027490795526,42,17
85,46.24411682923032,44,16
86,46.48682993958654,46,15
87,47.48340532385015,48,14
88,48.03987936975912,50,13
89,48.39600134920701,52,12
90,48.71587177560602,54,11
91,48.75409228952132,52,11
92,48.77507380156726,54,10
93,49.14555599388161,56,9
94,49.85352445286705,58,8
95,51.35471927932762,56,8
96,51.39247627162506,58,7
97,51.39321087305061,56,7
98,51.93000109712003,58,6
99,53.948066937786145,60,5
100,54.715514926480246,62,4
101,56.50294361250917,64,3
102,56.82056574342586,66,2
103,61.05822159060297,64,2
104,61.12388632076309,63,3
105,62.6976260052586,65,2
106,63.235847466305536,64,3
107,63.441547321168166,66,2
108,64.17046832679253,65,3
109,65.96095216962235,64,4
110,66.26349136678593,63,4
111,71.14976657749474,62,5
112,71.23377245091078,61,6
113,72.30971734696546,60,6
114,73.95090206779798,59,7
115,73.97611982475456,58,8
116,75.75103707656416,57,9
117,76.67115211463104,56,10
118,77.14157308997244,55,11
119,79.1811157324347,54,12
120,79.95415823847092,52,12
121,80.01068661377508,51,13
122,80.30815869647924,50,14
123,81.2038148107932,49,15
124,81.32940429982482,48,15
125,81.54550897865988,47,16
126,84.72280750821491,46,17
127,84.72962338101794,44,17
128,84.75776752867911,43,18
129,85.19757086949765,42,19
130,85.76560917634133,41,20
131,85.87929073285008,40,21
132,87.33448245788259,39,22
133,87.34972313323391,38,23
134,87.36210996023674,37,23
135,87.86639706065932,36,24
136,88.21012797523815,35,25
137,88.36077928371895,34,25
138,89.40805447768695,33,25
139,90.54695550070733,32,25
140,90.83430089183318,31,26
141,91.08696927432459,30,27
142,91.30969950056237,29,28
143,91.540370642704,28,28
144,91.54155908104634,27,28
145,92.54612859301778,25,28
146,93.33598170799597,23,28
147,93.45351832318057,22,28
148,93.7935018077157,21,29
149,93.88620907979313,20,29
150,94.09760001187388,18,29
151,94.21604325086712,16,29
152,94.30848527885763,15,29
153,94.32374535188787,14,29
154,94.40891367196014,13,29
155,94.54966817700627,11,29
156,94.80458963136778,9,29
157,94.8820162076319,8,29
158,95.12060527253824,6,29
159,95.19089953874406,4,29
160,95.32820489712758,3,29
161,95.54322921580449,2,29
162,95.56977376888727,0,29
163,111.12388632076309,2,28
164,113.23584746630553,4,27
165,114.17046832679253,6,26
166,115.96095216962235,8,25
167,120.59200522584368,6,25
168,121.14976657749474,8,24
169,121.23377245091078,10,23
170,123.33366388401438,8,23
171,123.95090206779798,10,22
172,123.97611982475456,12,21
173,124.50952380320588,10,21
174,125.75103707656416,12,20
175,126.67115211463104,14,19
176,126.73686029094956,12,19
177,127.14157308997244,14,18
178,129.1811157324347,16,17
179,130.01068661377508,18,16
180,130.30815869647924,20,15
181,131.2038148107932,22,14
182,131.54550897865988,24,13
183,134.7228075082149,26,12
184,134.7577675286791,28,11
185,135.19757086949767,30,10
186,135.76560917634134,32,9
187,135.87929073285008,34,8
188,136.2290580696073,32,8
189,136.5461124950807,30,8
190,137.3344824578826,32,7
191,137.3497231332339,34,6
192,137.86639706065932,36,5
193,138.21012797523815,38,4
194,140.83430089183318,40,3
195,141.0869692743246,42,2
196,141.30969950056237,44,1
197,143.7935018077157,46,0
198,152.31341518982725,45,1
199,153.6710472496884,44,2
200,156.51969854002857,43,3
201,157.483217999465,42,4
202,157.62182298298308,41,5
203,158.29386992409394,40,6
204,159.8210233830493,39,7
205,163.1498535518483,38,8
206,164.4559420520099,37,9
207,164.8773565279112,36,9
208,164.9648503943412,34,9
209,166.1051704016017,33,10
210,170.19912613434704,32,10
211,170.55006278216337,31,11
212,170.5554367663886,30,12
213,172.03786241741273,29,13
214,172.26716539406286,28,13
215,174.24414465496432,27,14
216,175.06569661985444,26,15
217,176.53108716605024,25,15
218,178.16496375090225,24,16
219,179.02215145786093,23,16
220,179.34676091733428,22,16
221,182.00002583524395,21,16
222,182.0255372015286,19,16
223,182.03397377161065,18,17
224,182.28065645714665,17,17
225,182.42798651882697,16,18
226,182.5558680150725,15,18
227,182.60134063767597,13,18
228,183.1122572270254,11,18
229,183.2359056882896,9,18
230,183.297968214533,7,18
231,183.63932404108195,6,18
232,183.66238504424584,4,18
233,183.67447118055333,2,18
234,183.73405734701282,0,18
235,202.31341518982725,2,17
236,203.6710472496884,4,16
237,206.51969854002857,6,15
238,207.483217999465,8,14
239,207.62182298298308,10,13
240,208.29386992409394,12,12
241,209.8210233830493,14,11
242,213.1498535518483,16,10
243,214.4559420520099,18,9
244,215.212372156102,16,9
245,216.1051704016017,18,8
246,219.06582263433026,16,8
247,220.55006278216337,18,7
248,220.5554367663886,20,6
249,222.03786241741273,22,5
250,224.24414465496432,24,4
251,225.06569661985444,26,3
252,228.16496375090225,28,2
253,232.03397377161065,30,1
254,232.42798651882697,32,0
255,238.3830296886008,31,1
256,242.52533518823728,30,2
257,245.68263573108462,29,3
258,245.991755819883,28,3
259,249.09089286831693,27,4
260,251.89992710520295,26,5
261,252.68347498817002,24,5
262,253.60759269138492,23,6
263,254.69071495813276,21,6
264,258.1434097349014,19,6
265,259.66926938124044,18,7
266,260.3477542521457,17,8
267,264.36936316692595,16,9
268,264.71138074089566,15,9
269,266.23612876696563,13,9
270,267.3236576191142,12,10
271,267.5157786540474,11,11
272,269.24559858881855,9,11
273,269.248305936932,7,11
274,270.45386433991285,6,11
275,270.63089910675785,5,11
276,271.08371410967067,3,11
277,271.3990566191955,2,11
278,271.41338435545794,0,11
279,288.3830296886008,2,10
280,292.52533518823725,4,9
281,295.6826357310846,6,8
282,298.7153607518446,4,8
283,299.0908928683169,6,7
284,301.89992710520295,8,6
285,303.6075926913849,10,5
286,306.5920044813324,8,5
287,309.66926938124044,10,4
288,310.3477542521457,12,3
289,314.36936316692595,14,2
290,314.48369154914485,12,2
291,317.3236576191142,14,1
292,317.5157786540474,16,0
293,338.33043969685787,15,1
294,343.4372784136732,14,2
295,348.284854555812,13,3
296,349.3315551676544,12,4
297,351.17890370477943,10,4
298,354.6927714027641,9,5
299,355.4897988742612,8,6
300,357.74100359604785,7,6
301,358.40899235273633,6,7
302,361.8616678101708,4,7
303,362.159902918261,3,7
304,inf,3,7
